"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Jan 11 18:55:37 EST 2025","Sat Jan 11 18:55:39 EST 2025","2936","","Validate create user API","","Validate I can create the resource when calling this API endpoint","","Validate I can create the resource when calling this API endpoint",""
"passed","Sat Jan 11 18:55:40 EST 2025","Sat Jan 11 18:55:41 EST 2025","874","","Validate get user API","","Validate I can get the resource when calling this API endpoint","","Validate I can get the resource when calling this API endpoint",""
